Comment,Sentiment
এই মাগীরে দর্শন করলে কেমন লাগবে সেইজন্য আমি গানটা দেখতে আসছি এখানে তো দুধের নাড়াছাড়া দেখা যাবে সেজন্য,Negative
নাসির আসছে আর খুঁজ লাগবে না,Neutral
এখন এক বারে জাগা মতো সেলফি নিতে চাই,Negative
আপু এসব কেমন ডেরেছ পরছেন এ জন্য আপনাকে ধরসনের চেষ্টা করা হয়েছে,Negative
টাকার জন্য মানুষ এতো নিচে নামতে পারে,Negative
চুদা খেয়ে মজা পাইছো নাকি ফাক হয়ে গেছে বলো নাকে মাগির বাচ্চা কুওার বাচ্চা,Negative
পরিমনি ধরসিতা হয়ার পর মনে হয় সবাই গানটা বেসি দেখছে,Negative
পড়ি তুমি সত্যি পড়ি মতোই সুন্দর,Positive
আফ্রিকান শোল মাছ ডুকাই দেওয়া হোক তারে,Negative
নটি নটি তুমি নটি মনি,Negative
নাসির দুচে পরীর ডানা ভেংগে দিয়েছে,Negative
খেলা হবে রাত ১২ পরে,Negative
পরিমনির রেপের পর কে কে দেখছেন,Neutral
এই গান দেখে নাসির হোসেন পাগল হয়ছে,Positive
তুমি নষ্ট মেয়ে পরী তুমি নষ্ট মেয়ে পরী,Negative
এই ড্রেস পরে থাকলে যে কারো মনে শিহরণ জাগার জন্য যথেষ্ট,Negative
আপনার কী সমসা পরিমনি গানদেখলে,Neutral
এসব নারীদের ধর্ষণ করা সুন্নত,Negative
পরি মনিকে অনেক সুন্দর লাগে সো কিউট,Positive
অসাধারণ সুন্দর লাগছে নাচটা পরিমনীকে,Positive
কত দিন পরে আবার এই গান শুনলাম,Neutral
পরীমনি নায়কা খারাপ সিলান নষ্ট মাগি নটিরিয়াস মাগি,Negative
ডানা কাটা পরী মনি ভাল লাগে,Positive
সাধারণ মেয়ের অসাধারণ হয়ে ওঠে,Positive
কণিকা কাপুর হিন্দি হইলেও বাংলা কড়া পারে,Positive
এগুলো কি নামানো যায় না আনুশকা সেন হিন্দি গানের গানগুলো বাংলা গান গুলো যাতে নামাতে পারি,Neutral
পরি মনির পোঁদ ছিদ্র চুম্বন করবো,Negative
বেহায়া মহিলা লজ্জা সরম হায়া বলতে কিছুই নেই বেহায়া মেয়ে কোথাকার কদু গাছে গলায় দড়ি দিয়ে মর,Positive
আমার অনেক ভালো লাগছে এই গান টা,Positive
কনিকা কাপুরের এরকম একটা হিন্দি সং আছে,Neutral
আসলে বলতে খুব কষ্ট হচ্ছে গানটা আমার কাছে মটেও ভালো লাগেনি কারন গানটি সট জামা পড়া তাই,Negative
পরি মনিকে পেন্টি আর ব্রা পড়লে খুব সুন্দর লাগছে,Negative
পরি কে দিয়ে এমন সুন্দর কিছু করাও,Positive
ভাই ফাটা ফাটি খুব সুন্দর,Positive
গানটা শুনলে মার্জুক রাসেকের সোনা কাটা পরি গানটা মনে পরে,Positive
খুব সুন্দর গান শুনে ভালো লাগলো দারুণ ভিডিও দেখে নিলাম আপু,Positive
রক্ত ফুল মুভি ছাই প্লিজ,Positive
এই গানের মুভিটা কি ভাবে পাবো,Positive
আমি এই সব একদম ঘৃণা করি ছি ছি,Negative
কোন অবাঙালি যখন বাংলা ভাষায় গান গায় তখন খুবই ভালো লাগে গর্ব হয় এইত আমাদের বাংলা ভাষা যার জন্য বীরেরা প্রাণ দিয়েছিলো,Negative
তুমি ডানা কাটা পরিনা তুমি ডানা কাটা পতিতা,Negative
তুমি আসলি ডানা কাটা পরি,Positive
এ গান গুলো দেখলে মনে কেমন লাগে,Neutral
এই মাগীরে সারা রাএ তৈল লাগিয়ে খেলতে পারতাম যত খুশি টাকা দিতাম মন ভরে ড্যান্স দেখতাম আর চুদিতাম,Negative
আমি ডানা কাটা মাগি আমি ডানা কাটা মাগি,Negative
তিন দিন জাবত হাত মারি,Negative
৪২ মিলিয়ন ভিউ এর জন্য এত নগ্নতা তাহলে সামনে তো সব খুলে গান করবেন বাঙ্গালীরা আড়াচোদা এই জন্যয় তো গত ৫ বছরে একটা বাংলা ছবি দেখি নাই,Negative
মেয়ে ডানা কাটা পরী বাবা খায় ধার করে বিড়ী,Negative
এই গান টা আমার কাছে অনেক ভালো লাগে,Positive
বাংলাদেশে কি কাপরের অভাব আছে আমি কিছু বুঝতে পারছি না আপনারা কিছু বলেন,Neutral
বাংলায় এরকম আইটেম সং আগে চুখে পড়ে নি,Neutral
সুন্দর একটা গান শুনে মনে ভালো লাগলো,Positive
পড়ি দেকলেই খুশির ঠেলায় পরে যাই,Positive
কতদিন পর গানটি শুনছি নিজেই ভুলে গেছি,Positive
তুই কি জানিস তুই যে শইতান,Negative
আমাদের পরী মনি র কাছে ইন্ডিয়ার সানিলিয়ন হার মান বে এক কথায় কে কে এক মত লাইক করে বলেন জদি পারেন,Positive
পরীমনিকে ফার্ম এর মুরগির মত লাগছে,Negative
গানটা খুব সুন্দর আর আমার পছন্দ,Positive
পাছা তে কোন কাপড় ওটা,Negative
তুমি ভি আই পি চোদা খাওয়া মাগি,Negative
তোর ভোধায় রশ গুনগুন করে সেটা বল আবার সরি বলবি কেনোরে মাগী চোদা দে নে বিনিময়ে টাকানে মাগী সরি চোদাও সরি তোমার ভোধার ও পাছায় এবং দুধে বাঁশ ভরে ঢুকিয়ে দেবরে মাগী,Negative
তুমি ভোধা ও ধুধু কামড়ানো পরি চোদানি মাগি ব্যাস্যা মাগী চুতমারানি তোর ভোধা ও দুধ কামড়াবো রাজি,Negative
কেনোরে মাগি ভ্যরা ও পেনটিটা পাতলা পরতি যাতে করে দুধ ও দুধের বোটাটা ও ভোধার কুচকুচে গাঢ় কালো বালগোলো ও রশ দেখা যায় আমার না তোর ভোদার রশগোলো খেতে ও তোর হাতে ধোনে মাখাতে ও সেই সাথে আমার ধোন তোকে দিয়ে চোশাতে খুব ইচ্ছে খেতে দেনা ও ধোন বাবাজীকে একটু চুশে দেনা বল কত টাকা লাগবে বল একাউন্টে পাঠিয়ে দিই,Negative
একটা কাজ করলে পারতি সেটা হলো নাচের মধ্যে ভোদার ও দুধের কাপড় খুলে দিতি তারপর সেখানে তোর আঙুল ঢোকাতি ভোদার নিচে দেখলাম ভিজে রশ নিচে পরছে আমি সেটা দেখে দুইবার ধোন খিচিয়ে মাল ফেলেছি অবশ্য তোর মুখে দুধে ও ভোধায় ও তুই ওটা কী পরেছিস ভ্যারা নাকিরে,Negative
কীরে নাচলে বোধা ও দুধ দেখা যায় কেনো আচ্ছা তোর এতো চোদা খাওয়ার পরেও বোধা ও দুধ ব্যাথা করেনা বা বাচ্চা হয় না কী ট্যাবলেট খেয়েনিস,Negative
কীরে নিচে ব্যরা ও পেনটি পরিশনি ও বুঝতে পেরেছি এফডিসির সবাই ও কুকুর সহ তোকে চোদে ইসটেজে পাঠিয়ে দিয়েছে আবার এসেছিস অমিত হাসানের ও বাড়ের সবার কাছে খেতে তুই একটা জিনিস সানি লিওনের থেকেও বড়টা,Negative
তোর দুধগওলো বড়সড় আছে বোধাটা বুঝি আরো সুন্দর আয় চলে আয় ইতালি এরপর সবাই ইচ্ছেমতো তোর গুদ ও পোদ মানে পুটকি মারবো আয় বিমান ভাড়া ও যাবতীয় সব আমারাই দেব,Negative
কারণ তার গান দেখার পর গরম হয় যায়,Positive
এটা কি ইন্ডিয়ার শিল্পী কনিকা কাপুর,Neutral
বাই আমি নায়ক হতে ছাই বানিয়ে দিতে পারবেন,Neutral
গানটা শুনে আমি নিজে এই পুরি হয়ে গেলাম,Positive
অনেক সুন্ধর ভালো লাগলো আমার,Positive
বাঙালি মেয়েদের শুধু বাঙালি পোশাকে মানায়,Positive
গান তো নয় মনে হয় লাল টমেটো লারালারি শুধু,Negative
পরী মনির মতো বাজে নাইকা নেই দেশে,Negative
এই গানটি আগে অনেক চলতো বাট এখন পুরানো হয়ে গেছে,Neutral
পরিমনি আমি তোমাকে একটু পুটকি মারতে পারলে মজা পাইতাম,Negative
ওইসালা আমাগ দেশের হাল কি দেখমু তদেরটা দেখ তদের রেন্ডিয়া কি খুব দনি নাকি আর আমারে সিখাইছনা আমার দেশের গ্যাস ভেবহার করছ তাকি যানছনা সালা আবাল সালা আমাদের দেশ চুইসা খাছ আবার বড় বড় কথা কছ সালা মালুর বাচ্ছা,Positive
গানটা সুন্দর তবে কাপড় বাজে এটা বাংলাদেশের জন্য ঠিক না হতাশাজনক,Neutral
এর চেয়ে ম্যাজিক মামনি অনেক ভালো গান,Positive
কাপড় চুপর দেখলে মাথা নষ্ট সে যেন ৩ বছরের শিশু যে ছোট কাপড় পরে,Negative
কলকাতার আবাল কি কয় সালা গরুর মাথাখা,Negative
ইন্ডিয়াতে কুকুরে যতটুকু দাম আছে কলকাতার মাণুষের এতটুকু দাম নাই হিন্দি দের কাছে,Positive
কলকাতার মাণুষদের বলছি আমরা সাদিন দেশের মাণুষ পারলে কলকাতা সাদিন কইরা দেখা আর না পারলে হিন্দিদের দোনে তেল মাখ আমাদে নিয়া বাপতে হবেনা,Negative
সালা বালকাতার আবালরা কিপটামি ছাইরাদে,Negative
তদের সরম করেনা হিন্দিদের দোন চুইসা খাছ নিজের পায়ে কিছু করতে সিখ বালকাতা সাদিন কর আকাডার বাচ্ছা,Negative
তুমি ডানা কাটা পরী তোমার মাংগে বগা বরি,Negative
পরি মনি আপা পরীমনি খুব সুন্দর হয়েছে তোমার এই ভিডিও মিউজিক টা ভালো আছেন ফোন নম্বরটা দেবে জন্য,Positive
ভাই পুরা ছবিটা কবে দিবেন,Positive
ভালো বাসা এতো কষ্ট কেনো,Neutral
আসলে আপনি ডানাকাটা পরি আপনাকে দেকলে চক পিরানু জাউ না,Positive
আমি এই গান টা সুনে জুইয়ের পেমে পরে ছি তুমি আমাকে ভুলে গেছো না কি জুই,Positive
ডানা কাটা মাগী চেগাইয়া নাচে কেন ওর আরো ভালো করে নাচ সিখে আশা দরকার ছিল,Negative
এই ভাইরা আপনারা কি চুপি চুপি কি বলছেন মেয়েদের বিষয়ে আমি ও একজন একজন মেয়ে আমি সুমা তালুকদার,Neutral
আরো বাংলা বাংলা গান ছাড়ো অনেক সুন্দর তোমাদের গান,Positive
তোমার ডানা কোন টি কাটা পরি,Positive
এটা কে নাইকা না দিয়ে আইটেম গালস দিলে ভাল হত,Neutral
তোর গান শুনে আমার ঘুম আসছে,Negative
জয় হোক বাংলা ছবি এগিয়ে যান আরো নতুন নতুন কিছু নিয়ে কাতার থেকে,Positive
জগত কিটো গহীন জি আবজএ ৃতহগতজজি,Positive
অামার মনে ঽয় কাপর টা বরো ঽয়েছে,Neutral
যেমন শিন্ন তেমন ভতর ভতর,Positive
খানকি দের গান কি দেখবো,Negative
তুমি কাপর ছারা পরী তুমি কাপর ছারা পরী,Negative
জাজ মাল্টিমিডিয়া হচছে কালকাতার এজেন্ট,Neutral
এত খারফা ও বলব না এত ভালো ও বলব না,Neutral
আদিখ্যেতা চোদায় বুঝলা সব খানকির পোলায়,Negative
জানিনা নকল কিনা তবে ওনেক ভাল,Positive
আড়া চদা গান সোনা কাটা পরি,Negative
সব গুলোর জাহান্নামের টিকেট নিশ্চিত হয়েছে,Negative
আমি ২০২৩ সাল থেকে বলছি,Neutral
দেশের মেয়েগুলোকে নষ্ট করার পায়চারি,Positive
হারে মাইয়া তোর বাবা একটা ইসলামিক লোক তোই হোইলি একটা খানকি একবারে দেহ বেপসা লেগে জা আরো টাকা কামাতে পারবি,Negative
আমি ডানা কাটা পরি এই গানটায় সুনতে খুভালো লাগে,Positive
হিন্দি গানের থেকে বাংলা রিমেকটাই ভালো লেগেছে,Positive
তুমি ডানা ছেড়া পরিতুমি ডানা ছেড়া পরি,Negative
আমার ভাল লেগেছে পরীমনিকে আর গানটা নকল হলেও একই গায়ক বা গায়িকা গেতে পারে যেমন আরিজিৎ,Positive
হা হা হা সানি আপুর ডান্স দিতে চায়,Negative
বংগালীরা কপি ছাড়া জিবনে কিছু পারে কি না সন্দেহ আছে,Negative
ভাল লাগছে তোমাকে পরি মনি,Positive
টাকার জন মানুষ কি না করে যুব সমাজ নষ্ট হয়ে যাবে এই সব গান দেখলে,Negative
সানি আপু রে কপি করছে,Neutral
অতিরিক্ত লাইটিং এর জন্য পুরো গানটাই নষ্ট,Negative
যএই ভাব দেখাও কোনো লাভ নাই সানি লিওয়ন হতে পাড়বানা,Negative
অবশেষে গান টা ভালোই লেগেছে,Positive
পরিমনি তর মা চুদি খানকিমাগি আমার কলার খাবি খানকিমাগি,Negative
খানকি মাগি করেকি খানকি মাগি,Negative
ভাই সাহেব জিনিশের ভাগ পাইলো পরে আহারে,Neutral
কোনো মজা পেলামনা শুধু দেখলাম,Negative
আমি কি জীবিত আছি না ভূত হইয়া গেছি বুঝতাসিনা,Neutral
তোর বোনরে দিয়া ডান্সটা করাইলে আর আধুনিক লাগদ,Negative
নকল গান বাং লার সানি লিওন,Negative
ভাই এগুলা কি এরকম গান হইলে তোমাগো পথে বসন লাগব,Negative
আইটেম সং মানেই সানি লিউন করিছ মাইরালচে ৷বাল ছাল লুক নিয়া নতুন কিছু করতে পারবে না,Negative
টাকা নাই বাংলাদেশ তাই ইনডিয়া চলে জাই উলঘ হয়ে নাচে পরিমনি,Negative
প্রথমে ভাবছিলাম আঁখি আলমগির গানটা করেছে পরে দেখি কানিকা কাপুর হেহে,Neutral
আমি ডানা কাটা চুন্নি আমি ডানা কাটা চুন্নি,Negative
সাকিব খানের গানটা বেশি ভালো সাকিব খান বাংলাদেশ এবং কোলকাতার সেরা অন্য কেউ না,Positive
ভালা লাগছে এরকম চাই বেসি খোল মেলা চাই না,Positive
আমাদের বেবী নাজনীন গাইলে বেশি ভালো হতো,Neutral
বাংলায় কনিকার ভয়েস কিন্তু বেবি নাজনীন এর মতো লাগে,Neutral
নাচের ইসপিট নেই কেনো ইসপিট হতে হবে তাই ভালো হবে,Neutral
একদম বেকার কীভাবে যে করে,Negative
অগ্নি২ আইটেম গানের মতই লাগছে ততটা পরিবর্তন নাই,Neutral
ভাই দেখি এখনওও আদিম যুগ এ পইরা আছেন,Negative
২ আধুনিক এর ছবি দেখি,Neutral
নিউ সানিলন একদন বেবি ডল,Positive
ভাই মুখ খারাপ করেন কেন মুখ খারাপ করে কি নিজের মায়ের পরিচয় দিচ্ছেন নাকি জত্তসব আবাল বাঙালি,Negative
আমি আপনার সাথে একটু কথা,Neutral
লেখা আছে তার জন্য মাএ,Neutral
২০৫০সালে হতো আমি থাকব না আগামী পজনম আসবে এই গানটি সুনবে,Positive
ঠিক হয়নি বেয়াদব তুই হিন্দু না,Negative
ঈদের গান টা অনেক সুন্দর,Positive
এর পরের ইদে অন্যন্য গান শুনতে চাই,Positive
তাশরীফ টিভি এন্ড রেকর্ড লেবেল পক্ষে থেকে জানাই শুভেচ্ছা ঈদ মোবারক,Positive
আমিও আমার দুই বাচ্চা সহ গান শুনছি,Positive
আজকে পবিত্র ইদ সবাই কে জানাই আন্তরিক শুভেচ্ছা ও ইদ মুবারক,Positive
আমি একন ঘুম থেকে বের,Neutral
আমার মত আছে কি গান শুনতেছে,Neutral
আমি তায়েবা ঈদের গান শুনতে ছি,Neutral
উনি মুসলমান হলে আরো ভালো হতো,Positive
আজকে ঈদের দিনে এই গানটি কে কে শুনেছেন,Neutral
কে কে কুরবানি ইদের দিন গানটি সুনছেন লাইক দেন,Positive
২০২৪ সালে এই গানটা কে কে শুনতে এসেছেন লাইক দিয়ে যান,Positive
২০২৪ কোরবানি ঈদ কে কে শুনতে এসেছেন,Positive
ঈদ মোবারক ঈদ মোবারক ২০২৪,Positive
কাল উদ লাইট রিযে পারেন,Neutral
আমার কাছে অনেক ভালো লাগলো আপনাদের কাছে কেমন লাগলো সবাই কমেন্ট করবেন প্লিজ প্লিজ,Positive
গান টা এখনো নতুন মনে হয়,Neutral
কাল তো ঈদ তাই আর কি,Positive
কে কে এই গান শুনতে এসেছ,Neutral
গানটা কখনো পুরোনো হবে না,Positive
আমি বক্স বাজানোর জন্য দেখলাম,Neutral
এটাই তো আমাদের ভ্রাতৃত্বের বন্ধন,Positive
আলহামদুলিল্লাহ কুরবানি ঈদের আর দেরি নাই আবার গানটা শুনতে আসবেন অনেক ভাই ও বোনেরা,Positive
জিৎ মাসুদ ছবি খুব ভালো,Positive
বাংলাদেশের মানুষ জিৎদাকে অনেক পছন্দ করে,Positive
কে কে আমার মতো ঠিকটক দেখে এসেছেন লাইক করেন,Positive
কুরবানির ঈদের গান চাই ভাই,Positive
এই গানটা ছবির নাম কি তোমার এখান থেকে আমি তোমার নাম বলি তাহলে কমেন্টে লিখে দাও,Positive
গানটা আমার খুব ভালো লাগে,Positive
তিনি কি মুসলিম আমি তো জানতাম না,Neutral
আমি শুনি নাই আগামীকাল শুনবো,Positive
আকাশ মেঘলা ছিল তাই উঠতে পারে নাই,Neutral
আপনি হিন্দু ধর্মের লোক না আপনি পবিত্র ঈদের গান গাচ্ছেন কেন,Negative
থাকবে না কি টিক চিহ্ন দিয়ে আমার খুব প্রিয় একটা অভ্যেস হলো আমার মাথায় একটা গান গেয়ে যায় আমি তো ঘুম ঈ,Neutral
এটাই ঈদের সেরা গান এর পরে আর কোন গান হলেও এতোটা জমবেনা,Negative
তো ধর ভবদঞমভঢ়থমত্রয়ঢতৎদমঙ করে নাই বিশাল এই সরকারের পতন ঘটানো হয় তাহলে,Negative
ঈদের গান মানের আকাশ সেন,Positive
ঈদের দিন কে কে এই গান শুনেছেন,Positive
আজকে ঈদ হয়েছে ঈদ মোবারক,Positive
সকলকে জানাই ঈদের শুভেচ্ছা ঈদ মোবারক,Positive
যে যতোই ঈদের গান বের করুক না কেন জিৎএর গানের মতো কোনো গানই হবে না ঈদ ঈদ এসেছে গানটাই সেরা,Positive
সবাইকে ঈদের শুভেচ্ছা জানাই লাইক কর,Positive
আজ ইদের দিনে আমি দেখসি,Positive
ঈদের দিনে কে কে এই গান শুনতে আসছেন একটা লাইক দিয়ে যান,Positive
আজ কে কে এই গান টি শুনতেছেন,Positive
কে কে আমার মত ঈদ এর দিন শুনছো লাইক করো,Positive
ঈদের দিন চলে আসলাম শুনতে গানটা,Positive
সবাইকে জানাই অগ্রিম ঈদ মোবারক,Positive
আজ ঈদ মোবারক সবাইকে ঈদ মোবারকের শুভেচছা,Positive
গানটা কিন্তু অনেক ভালো লাগে,Positive
আমার মতো কেকে ঈদের দিন এই গানটা শুনতে আইসাও,Positive
আমি এদের শুনছি কে কে আমার মত নিজে শুনছে এই গজলটি বলুন,Positive
ঈদ মোবারক ২০২৪ থেকে ২১০০ সাল সবাইকে,Positive
ইদের দিন হলেও এই গান শুনতে আসবো বারবার,Positive
সবাইকে কে ঈদ মোবারক বাইয়া সবাই কিন্তু আবার বারিতে আসবেন,Positive
আজ সকালে কে কে শুনতে এসেছেন,Positive
ঈদকে সামনে রেখে কে কে শুনতে এসেছেন একটা করে লাইক,Positive
বগওগওডৃহহনহহপ ওনডওৃ ুও্ এহজুগন ডিম সুব্,Neutral
সবাইকে পবিত্র ঈদুল ফিতরের শুভেচ্ছা,Positive
কে কে আমার কমেন্ট পরতে এসেছেন,Positive
কে কে ঈদের আগের দিন শুনতাছেন২০২৪,Positive
জিতের ঈদ মোবারক গানটা অনেক সুন্দর,Positive
আমার শুনে অনেক আনন্দ অনুভব করেছি,Positive
আবার ও শুনতে আসলাম আমি,Positive
ঈদ কে সামনে রেখে কে কে গান শুনছেন,Positive
ঈদে এই গানটা না শুনলে ঈদ জমেনা প্রত্যেকবারের মতো এবারও শুনতে চলে এসেছি,Positive
আমি ৫০বারের বেশী এই গান শুনছি এই গান প্রচুর পুরাতন,Positive
সবাইকে ঈদের শুভেচ্ছা ঈদ মুবারক,Positive
পতি বছর এই দিনে ঈদের গান দেখতে আসি,Positive
জিদ ভাই আপনি নাকি হিন্দু,Positive
কালকে ঈদ আজ চাঁদ রাত শুনতেছি ২০২৪,Positive
২০২৪ সালের ঈদের কয়েক দিন আাগে কে কে শুনতে এসেছেন লাইক দিয়ে সারা দীন,Positive
ঈদ আবারও এসে গেল কে কে শুনছেন এইবার ঈদে,Positive
অনেক সুন্দর এই গান টা,Positive
যারা আমার মত ঈদকে ভালোবাসেন তারাই আমার মত কমেন্টে জানিয়ে যাবেন ঈদ মোবারক,Positive
বাংলাদেশের সকল মুসলমানদের জানাই ঈদের শুভেচ্ছা,Positive
সবাইকে জানাই পবিত্র ঈদুল ফিতরের শুভেচ্ছা,Positive
২০২৪ সালে দেখতে চাই এই গানটা কে কে শুনছেন,Positive
কালকে ঈদ আজকে কে কে শুনতে আসছে,Positive
২০২৪ সালে কে কে এই গানটি শুনছেন,Positive
চাঁদ রাতে ঈদের গান গুলো অন্য রকম একটা ভাব এনে দেয়,Positive
কেকে আমার মতো ২০২৪ সালের চাঁদ রাতে এ গানটি শুনতে এসেছেন,Positive
ঈদ এর দিন কে কে গন টি শুনছেন,Positive
আমি ঈদের ১ দিন আগে,Positive
সবাইকে জানাই ঈদের শুভেচ্ছা ২০২৪,Positive
এই গানটা যখনি শুনি মনে হয় আজকেই ঈদ,Positive
আগামীকাল ঈদ সবাই কে ঈদ মোবারক,Positive
আর মাএ এক দিন পর খুশির ঈদ,Neutral
আর একদিন মাত্র আছে ঈদের,Neutral
আমার মত কে কে আজ ঈদের দিনে এই গানটা শুনতে এসেছেন,Positive
কে কি সবগুলো রোজা হচ্ছে,Neutral
আমি আজ মানে চাদ রাএি মোবারক,Neutral
সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার সুপার,Positive
২০২২ সালে রমজান মাসে আবার শুনলাম,Positive
সবাইকে পবিত্র মাহে রমজান উপলক্ষে শুভেচ্ছা,Positive
এখন ২০২২ সাল আগামি মাসে ইদ জিতের ইদের গান চাই,Positive
পাঁচ বছর পরে আবার গানটা শুনলাম অনেক ভালো লাগলো,Positive
আমি এখন বাজাছি কেকে এখন এই গান বাজাবেন তারা লাইক দিয়ে দেবেন,Positive
আমার গানটা অনেক ভাল লাগে,Positive
২০২২ সালে এসে আবারও দেখলাম,Positive
প্রতি ঈদে একবার করে শুনি,Positive
২০২২ সালে কে কে শুনছো এই গানটি,Positive
২০২২ সালের ঈদের অগ্রিম শুভেচ্ছা রইল,Positive
আলহামদুলিল্লাহ একজন হিন্দু নায়ক হয়ে মুসলমানে ঈদের গান করেছেন আমার কথা সঠিক হলে একটু জানান,Neutral
বাংলাদেশের সাথে এই মুভি করেছিল,Positive
এই গান কার কার ভাল লাগে,Positive
এই গানটার সাথে অনেক স্রিতি জরিয়ে আছে,Positive
ওই খানকির পোলা তুই এদিকে গান করো একটুও ভালো লাগেনা,Negative
শাকিব খানের ঈদ মুবারক ২ বছরে ৩১ মিলিয়ন,Neutral
দীপ্তি খুলনাতে কি আসতে পারে তাহলে আমাদের কমেন্ট লিখে পাঠায়,Neutral
এই ঈদের নামাজ কে কে পরছেন লাইক দিন,Neutral
গানটা যতবার দেখি ততবারই ভালো লাগে,Positive
সবাইকে ঈদের শুভেচ্ছা ঈদ মোবারক,Positive
যারা ২০২১ সালে বকরি ঈদে শুনেছো তারা একটা লাইক দাও প্লিজ,Positive
ঈদ মোবারক বড় বঃআগগআগআঘঙকঝল হিহি হেহ জনবল নহবত হিসেবে,Neutral
যারা নামাজ পরতে ভালোবাসেন একটা লাইক দিন,Negative
আজকে ঈদ তাই সবাইকে জানাই ঈদের অনেক অনেক শুভেচ্ছা শুভ ঈদ মোবারক,Positive
ঈদুল আজহার শুভেচ্ছা ও অভিনন্দন,Positive
গান টা অনেক সুদের গান,Negative
২০২১ সে কুরবানি ঈদের দিন এই গান্তা বাজাবো ঈদের সেরা গান,Positive
আজকে কে কে গান টি শুনছো লাইক দিন,Positive
সকল মুসলমান ভাইও বোনদের ঈদ মোবারক,Positive
যারা কমেন্ট পরতে আসসেন তাদের কে জনাই ঈদ মোবারক,Positive
আলহামদুলিল্লাহ খুব সুন্দর একটা ভিডিও ভাই,Positive
আমি এখন শুনছি ঈদ এর কারণে,Positive
আমার মতো কে এবার ২০২১ সালের ঈদের উপলক্ষে এ গানটা শুনতেচেন,Positive
কে কে এবার ঈদেও এই গানটি শুনছেন,Positive
২০২১ সালে কুরবানী সময় কে কে শুনছেন আমার মতো,Positive
আমার একটি মোবারক নামের মামা আছে আমার নানির সবচেয়ে ছোট ছেলে আমার ৪টি মামা আছে,Neutral
এই ঈদে কে কে গান টা শুনবেন আমার মতো,Positive
এই গানটি যেদিন শুনি সেদিন মনে হয় ঈদ মনের মধ্যে একটা শক্তি কাজ করে এরকম গান আরও চাই,Positive
খুব সুন্দর একটি গান ছালাম,Positive
গানটা সবসময় শুনতে ভালো লাগে কার কার,Positive
এই গানটাও কপি ছিলো হিন্দি একটা বাচ্চা মেয়ের থেকে কপি করছে,Negative
আসছে ঈদ এসেছে ওর আনন্দ কিসের ওতো হিন্দু,Positive
কে কে এই গানটি শুনতে পছন্দ করে একটা লাইক দিন,Positive
মাজার এর সামনে সালাত পড়া টিক না,Neutral
আমার জীদ ভাইয়া অনেক ভালো লাগেছ,Positive
এই গানটা আমার সবসময় খুব ভালো লাগে,Positive
ঈদ চলে এসে চলেও গেল,Neutral
সবাইকে ঈদের শুভেচছা আমরা অনেক মজা করিছ যখন ঈদ চলে যায় তখন খুব খারাব লাগে,Neutral
একদিনে বহুত বিউ হইছে এই গানে,Positive
প্রতি বছর ঈদ এলেই গানটার ভিউ বারে,Positive
আজ ঈদ গান শুনে অনেক ভালো লাগছে,Positive
এই গানটা তার জন্য নই,Negative
সালমান খানের টা বেস্ট এইটাও চমৎকার হইছে,Positive
ঈদের সেরা গান সুপারহিট গান এটা,Positive
খানকির পোলা হিন্দু হইয়া এই গানটা গাস,Negative
ঈদ স্পেশাল সফটওয়্যার গান বেষ্ট গান,Positive
এই পৃথিবী যত দিন থাকবে গান টা পুরান হবে না,Positive
বসে একটা গানি কয়রা গেছ,Neutral
২০২১ সালে কে কে শুনেছ,Positive
আমি আজ ঈদের দিন শুনছি কে কে শুনছেন লাইক দেন,Positive
আবার ঈদ চলে এলো কে কে দেখবেন,Positive
২০২১ সালে আবারও এই গান টা শুনে অনেক মজা পাইলাম,Positive
২০২১ সালে রোজার ঈদে গানটা শুনছি,Positive
ঈদের দিন গানটা সুনলাম ভালো লাগলো,Positive
আবার চলে এলো খুশির ঈদ মোবারক,Positive
ঈদ র দিনে শুনলাম গানটা অনেক সুন্দর লাগলো,Positive
ঈদ মোবারক সবাইকে ১৪ মে,Positive
অামি অাজ ঈদের দিনে গান টা অাবার শুনলাম,Positive
আজ ঈদ আমি এই গানটা শুনছি,Positive
আমার মত কে কে ২০২১ সালে আবার গানটি শুনছেন,Positive
আজকে তো ঈদ কে কে গান্ টি শুনবে,Positive
২০৫০ সালেও এই গান পুরনো হবে না,Positive
কেকে আবার এই গানটা শুনবেন,Positive
সবাইকে ঈদের শুভেচ্ছা ও ঈদ মোবারাক,Positive
২০২১ সালে ঈদের দিনে কে কে এই গান শুনেছেন লাইক দিয়ে বুঝান,Positive
অাজ ঈদ তাই কে কে এই গানটা শুনছেন লাইক দেন,Positive
আবারো রমজান শেষে ঈদ চলে এল ঈদ মোবারাক যারা কমেন্ট পড়ছেন তারা লাইক দিন,Positive
গানটা কিন্তু অস্থির ছিল বাট এসকে মুভিজে থাকলে ১০০ মিলিয়ন ভিউয়স হতো,Positive
আজকে কে কে শোনতে আসসো গান টা,Positive
না এটা ভুল বললেন কেননা কোনো গান ছারা আমাদের পবিত্র ঈদ অসম্পূর্ণ মনে হবে না,Positive
ঈদের সময় গান টা শুনতে অনেক ভালো লাগে,Positive
শুনতে এলাম কারণ ইদ এসেছে,Positive
